ID,Nazwa,Kategoria,Cena,Dostępność
1,Produkt_1,Moda,529.01,Na zamówienie
2,Produkt_2,Moda,514.51,Dostępny
3,Produkt_3,Książki,1410.66,Brak
4,Produkt_4,Zabawki,667.48,Dostępny
5,Produkt_5,Moda,127.69,Na zamówienie
6,Produkt_6,Dom,942.83,Brak
7,Produkt_7,Elektronika,1009.73,Dostępny
8,Produkt_8,Zabawki,32.14,Dostępny
9,Produkt_9,Zabawki,1500.62,Dostępny
10,Produkt_10,Elektronika,1260.6,Na zamówienie
11,Produkt_11,Moda,99.33,Brak
12,Produkt_12,Zabawki,1689.77,Dostępny
13,Produkt_13,Dom,81.49,Dostępny
14,Produkt_14,Książki,856.36,Dostępny
15,Produkt_15,Zabawki,1080.83,Brak
16,Produkt_16,Książki,782.02,Brak
17,Produkt_17,Dom,897.1,Dostępny
18,Produkt_18,Elektronika,460.51,Brak
19,Produkt_19,Zabawki,1869.58,Brak
20,Produkt_20,Książki,695.28,Brak
21,Produkt_21,Zabawki,856.66,Na zamówienie
22,Produkt_22,Zabawki,1004.96,Na zamówienie
23,Produkt_23,Sport,753.34,Dostępny
24,Produkt_24,Książki,273.33,Dostępny
25,Produkt_25,Książki,1933.12,Na zamówienie
26,Produkt_26,Dom,1237.96,Brak
27,Produkt_27,Zabawki,1994.89,Brak
28,Produkt_28,Dom,196.89,Brak
29,Produkt_29,Książki,597.3,Brak
30,Produkt_30,Książki,867.83,Na zamówienie
31,Produkt_31,Sport,1538.12,Na zamówienie
32,Produkt_32,Elektronika,1724.01,Na zamówienie
33,Produkt_33,Zabawki,813.72,Dostępny
34,Produkt_34,Dom,1409.99,Dostępny
35,Produkt_35,Sport,376.8,Brak
36,Produkt_36,Moda,78.01,Na zamówienie
37,Produkt_37,Moda,36.81,Na zamówienie
38,Produkt_38,Dom,543.39,Na zamówienie
39,Produkt_39,Elektronika,656.36,Na zamówienie
40,Produkt_40,Sport,1786.65,Na zamówienie
41,Produkt_41,Zabawki,631.7,Dostępny
42,Produkt_42,Książki,425.79,Dostępny
43,Produkt_43,Dom,294.69,Brak
44,Produkt_44,Moda,1199.57,Brak
45,Produkt_45,Sport,1163.42,Brak
46,Produkt_46,Dom,879.17,Dostępny
47,Produkt_47,Sport,452.26,Na zamówienie
48,Produkt_48,Elektronika,952.62,Dostępny
49,Produkt_49,Zabawki,573.39,Dostępny
50,Produkt_50,Elektronika,318.03,Dostępny
51,Produkt_51,Książki,604.5,Na zamówienie
52,Produkt_52,Moda,878.41,Brak
53,Produkt_53,Moda,504.46,Na zamówienie
54,Produkt_54,Książki,1779.85,Na zamówienie
55,Produkt_55,Sport,508.15,Dostępny
56,Produkt_56,Zabawki,1828.21,Na zamówienie
57,Produkt_57,Zabawki,711.69,Na zamówienie
58,Produkt_58,Elektronika,465.96,Dostępny
59,Produkt_59,Sport,47.35,Brak
60,Produkt_60,Książki,1153.29,Dostępny
61,Produkt_61,Moda,782.55,Brak
62,Produkt_62,Dom,1709.11,Brak
63,Produkt_63,Sport,1886.56,Dostępny
64,Produkt_64,Sport,1580.7,Dostępny
65,Produkt_65,Książki,1011.81,Dostępny
66,Produkt_66,Książki,1949.69,Brak
67,Produkt_67,Elektronika,597.0,Brak
68,Produkt_68,Książki,687.77,Na zamówienie
69,Produkt_69,Elektronika,566.53,Na zamówienie
70,Produkt_70,Sport,215.66,Na zamówienie
71,Produkt_71,Dom,912.84,Dostępny
72,Produkt_72,Elektronika,164.73,Brak
73,Produkt_73,Zabawki,1230.29,Dostępny
74,Produkt_74,Książki,572.99,Dostępny
75,Produkt_75,Elektronika,698.6,Na zamówienie
76,Produkt_76,Książki,675.78,Brak
77,Produkt_77,Książki,78.67,Dostępny
78,Produkt_78,Sport,540.29,Na zamówienie
79,Produkt_79,Dom,533.67,Na zamówienie
80,Produkt_80,Zabawki,1737.72,Na zamówienie
81,Produkt_81,Zabawki,1439.13,Brak
82,Produkt_82,Książki,514.37,Brak
83,Produkt_83,Moda,767.18,Brak
84,Produkt_84,Sport,939.32,Dostępny
85,Produkt_85,Dom,932.73,Na zamówienie
86,Produkt_86,Elektronika,1264.98,Na zamówienie
87,Produkt_87,Moda,362.95,Na zamówienie
88,Produkt_88,Moda,1054.62,Na zamówienie
89,Produkt_89,Książki,111.69,Dostępny
90,Produkt_90,Sport,891.91,Dostępny
91,Produkt_91,Zabawki,871.69,Brak
92,Produkt_92,Książki,811.62,Na zamówienie
93,Produkt_93,Zabawki,1124.81,Na zamówienie
