ID,Nazwa,Kategoria,Cena,Dostępność
1,Produkt_1,Sport,914.47,Na zamówienie
2,Produkt_2,Dom,271.65,Na zamówienie
3,Produkt_3,Moda,634.63,Na zamówienie
4,Produkt_4,Elektronika,782.44,Brak
5,Produkt_5,Elektronika,515.96,Brak
6,Produkt_6,Dom,633.98,Na zamówienie
7,Produkt_7,Książki,284.29,Na zamówienie
8,Produkt_8,Zabawki,179.09,Na zamówienie
9,Produkt_9,Dom,271.69,Dostępny
10,Produkt_10,Elektronika,911.38,Brak
11,Produkt_11,Elektronika,420.8,Na zamówienie
12,Produkt_12,Dom,733.26,Brak
13,Produkt_13,Sport,580.32,Na zamówienie
14,Produkt_14,Moda,752.59,Dostępny
15,Produkt_15,Książki,755.39,Brak
16,Produkt_16,Zabawki,394.41,Na zamówienie
17,Produkt_17,Zabawki,280.8,Na zamówienie
18,Produkt_18,Sport,870.53,Na zamówienie
19,Produkt_19,Moda,793.34,Na zamówienie
20,Produkt_20,Elektronika,819.66,Brak
21,Produkt_21,Książki,412.69,Dostępny
22,Produkt_22,Dom,704.3,Dostępny
23,Produkt_23,Dom,984.37,Na zamówienie
24,Produkt_24,Zabawki,482.02,Brak
25,Produkt_25,Książki,200.01,Brak
26,Produkt_26,Zabawki,811.74,Na zamówienie
27,Produkt_27,Moda,614.84,Na zamówienie
28,Produkt_28,Zabawki,30.48,Na zamówienie
29,Produkt_29,Dom,785.86,Dostępny
30,Produkt_30,Moda,992.08,Dostępny
31,Produkt_31,Elektronika,30.72,Brak
32,Produkt_32,Książki,527.58,Dostępny
33,Produkt_33,Sport,875.62,Dostępny
34,Produkt_34,Moda,778.1,Brak
35,Produkt_35,Zabawki,557.17,Brak
36,Produkt_36,Dom,126.49,Brak
37,Produkt_37,Dom,602.2,Dostępny
38,Produkt_38,Moda,612.02,Brak
39,Produkt_39,Elektronika,78.33,Brak
40,Produkt_40,Elektronika,690.06,Na zamówienie
41,Produkt_41,Zabawki,461.35,Dostępny
42,Produkt_42,Moda,637.48,Brak
43,Produkt_43,Książki,801.21,Brak
44,Produkt_44,Dom,842.41,Dostępny
45,Produkt_45,Dom,470.15,Brak
46,Produkt_46,Zabawki,244.33,Na zamówienie
47,Produkt_47,Dom,98.09,Na zamówienie
48,Produkt_48,Moda,946.82,Dostępny
49,Produkt_49,Sport,655.22,Brak
50,Produkt_50,Moda,938.85,Dostępny
51,Produkt_51,Zabawki,441.07,Na zamówienie
52,Produkt_52,Moda,588.48,Dostępny
53,Produkt_53,Moda,909.37,Brak
54,Produkt_54,Moda,683.29,Na zamówienie
55,Produkt_55,Książki,669.74,Na zamówienie
56,Produkt_56,Książki,514.47,Dostępny
57,Produkt_57,Książki,939.06,Brak
58,Produkt_58,Zabawki,183.57,Brak
59,Produkt_59,Elektronika,565.41,Na zamówienie
60,Produkt_60,Moda,925.53,Brak
61,Produkt_61,Elektronika,389.5,Dostępny
62,Produkt_62,Zabawki,686.53,Brak
63,Produkt_63,Książki,957.9,Na zamówienie
64,Produkt_64,Zabawki,112.35,Brak
65,Produkt_65,Książki,506.56,Dostępny
66,Produkt_66,Sport,182.36,Dostępny
67,Produkt_67,Moda,814.1,Brak
68,Produkt_68,Zabawki,882.06,Dostępny
69,Produkt_69,Elektronika,801.33,Na zamówienie
70,Produkt_70,Moda,891.37,Na zamówienie
71,Produkt_71,Sport,511.96,Brak
72,Produkt_72,Dom,477.2,Brak
73,Produkt_73,Sport,943.92,Na zamówienie
74,Produkt_74,Sport,831.93,Brak
75,Produkt_75,Sport,125.67,Brak
76,Produkt_76,Zabawki,159.68,Na zamówienie
77,Produkt_77,Sport,785.23,Brak
